,Tweets
69,"['joe', 'biden', 'elected', 'restore', 'nation', 'faith', 'democracy', 'protect', 'us', 'threat', 'autocracy', 'thre']"
70,"['_yoda', 'forgot', 'past', 'seeing', 'mass', 'murders', 'hindus', 'kashmir', 'bangladesh', 'n', 'pakistan', 'afghanistan', 'hindus', 'wiped', 'kerala', 'n', 'bengal', 'ready', 'kill', 'hindus', 'love', 'jihad', 'real', 'issue', 'media', 'covering', 'firs', 'n', 'couproceedings', 'dont', 'lie']"
71,"['podcast', 'interested']"
72,"['_a_boogie', 'actually', 'believe', 'referring', 'rifle', 'use', 'guns', 'whole', 'apologize', 'misconstrued', 'fact', 'quoting', 'upon', 'looking', 'back', 'stats', 'actually', 'handgun', 'violence', 'stats', 'accurately', 'reported']"
73,"['sounds', 'like', 'threat']"
74,"['arizona', 'know', 'none', 'stops', 'unless', 'votebluein', 'protect', 'women', 'everyone', 'thes']"
75,"['else', 'knew', 'maga', 'going', 'threat', 'democracy', 'day', 'one']"
76,"['forget', 'days', 'ago', 'left', 'wing', 'extremist', 'ran', 'year', 'old', 'conservative', 'murdered']"
77,"['threat', 'us', 'russia', 'nuclear', 'conflict', 'highest', 'decades', 'amp', 'ukrainian', 'russian', 'soldiers', 'sent', 'die']"
78,"['rando', 'security', 'question', 'long', 'ai', 'insider', 'threat', 'threat', 'actor', 'category', 'need', 'att', 'amp', 'ck', 'path']"
79,"['time', 'stalooking', 'team', 'outside', 'perspective', 'team', 'serious', 'threat', 'make', 'run', 'playoffs', 'ravensflock']"
80,"['_mcbeenie', 'go', 'hell', 'weak', 'insult', 'hope', 'disney', 'makes', 'movie', 'culture', 'white', 'people', 'constantly', 'compare']"
81,"['threat', 'idk']"
82,"['canadian', 'woman', 'saskatchewan', 'happily', 'married', 'blue', 'collar', 'man', 'amazing', 'children', 'rescue', 'animal']"
83,"['trump', 'said', 'american', 'people', 'stand', 'doj', 'weaponization', 'longer', 'doj', 'executed', 'lawful', 'search', 'w']"
84,"['ah', 'british', 'admiralty', 'anxious', 'persuade', 'flag', 'officers', 'braver', 'facing', 'enemy', 'thought', 'executing', 'admiral', 'byng', 'cowardice', 'would', 'encourage', 'others', 'like', 'despots', 'putin', 'uses', 'violence', 'suppress', 'resistance']"
85,"['pakistan', 'army', 'take', 'critical', 'threat', 'india', 'little', 'defence']"
86,"['_com', 'uk', 'jail', 'islamist', 'extremist', 'anjem', 'choudary', 'calls', 'muslim', 'patrols', 'instigates', 'muslims', 'attack', 'hindus', 'asks', 'hind']"
87,"['first', 'second', 'half', 'speed', 'violence', 'third', 'fourth', 'full', 'speed', 'violence', 'something', 'similar', 'people', 'look', 'game', 'identify', 'coming', 'woman', 'point', 'view', 'man', 'point', 'view']"
88,"['tiktok', 'national', 'security', 'threat', 'million', 'americans', 'spend', 'free', 'time', 'scrolling', 'algorit']"
89,"['let', 'help', 'associated', 'press', 'three', 'cops', 'two', 'paramedics', 'murdered', 'elijah', 'mcclain', 'young', 'innocent', 'unarmed']"
90,"['actually', 'think', 'acknowledged', 'problem', 'actually', 'help', 'black', 'communities', 'mean', 'think', 'crime', 'violence', 'black', 'communities', 'hurts', 'black', 'people', 'sure', 'us', 'want', 'live', 'without', 'gangsters', 'roaming', 'streets']"
91,"['exactly', 'classic', 'protection', 'racketeering', 'racketeering', 'creates', 'threat', 'wants', 'money', 'save', 'us', 'pay', 'dare', 'complain', 'get', 'legs', 'broken']"
92,"['_chime', 'gehlot', 'really', 'want', 'become', 'congress', 'president', 'leaving', 'cm', 'chair', 'rajasthan', 'mlas', 'resignation', 'threat']"
93,"['worse', 'government', 'become', 'almost', 'indistinguishable', 'evil', 'claims', 'fighting', 'whether']"
94,"['rando', 'security', 'question', 'long', 'ai', 'insider', 'threat', 'threat', 'actor', 'category', 'need', 'att', 'amp', 'ck', 'path', 'yet', 'another', 'vector', 'defend']"
95,"['fear', 'isil', 'try', 'take', 'bamako', 'junta', 'mali', 'able', 'protect', 'people', 'mali', 'terrorism']"
96,"['_parked', 'considered', 'violence', 'form', 'education', 'lol']"
97,"['tigray', 'conflict', 'triggering', 'instability', 'within', 'horn', 'africa', 'says', 'kenya', 'president', 'william', 'ruto']"
98,"['open', 'threat', 'safety', 'british', 'women']"
99,"['particular', 'style', 'cowardice', 'hallmark', 'people', 'like', 'abigail', 'disney', 'constantly', 'chasing', 'approval', 'propo']"
